"Term Code","Subject Code","Course"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 493"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 497"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 498"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 500"
"2228","CSC","CSC 524"
"2228","CSC","CSC 524"
"2228","CSC","CSC 570"
"2228","CSC","CSC 572"
"2228","CSC","CSC 572"
"2228","CSC","CSC 580"
"2228","CSC","CSC 580"
"2228","CSC","CSC 580"
"2228","CSC","CSC 580"
"2228","CSC","CSC 590"
"2228","CSC","CSC 590"
"2228","CSC","CSC 593"
"2228","CSC","CSC 594"
"2228","CSC","CSC 595"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 596"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 597"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
"2228","CSC","CSC 599"
